,Unnamed: 0,RecipeName,Ingredients,Course,Instructions
10,10,Enrollado de Atun,"['3 cans tuna  drained', '½ cup  cooked peas', '½ cup cooked carrots chopped into small cubes', '1 cup mayo', 'salt & pepper to taste']","Dinner, Lunch","['In a large bowl, add the well-drained tuna, cooked carrots and peas, mayonnaise, salt and a pinch of pepper.', 'Stir with a spoon until all ingredients are well mixed. Taste and adjust the salt if necessary. If you wish, you can add a teaspoon of vinegar or lemon juice. Set aside to chill in the fridge.', 'Wash the potatoes, peel them, and cut them into smaller pieces.', 'Fill a pot with 4 cups of water and a teaspoon of salt, turn the stove on to high heat, when it is boiling add the potato pieces. Cook the potatoes for approximately fifteen minutes until they are tender.', 'When the potatoes are soft, turn off the stove and drain them. Mash with the technique of your preference until you obtain a smooth and homogeneous puree. No lumps please! Finely season the puree with two tablespoons of butter, salt and pepper. Optionally, add a teaspoon of Aji Amarillo paste or infused Achiote oil for additional yellow coloring.', 'Place a 24"" (60 cm) piece of plastic wrap or a thick plastic bag on a suitable work surface. If you wish, spread a teaspoon of oil on the plastic wrap, this will help you remove the roll more easily. Pour all the puree onto the plastic wrap and flatten it into a 1/2"" layer, then shape it into a smooth, uniform rectangle. You can use a utensil like fork, spoon, or spatula, but its easy even with your hands.', 'Spread the tuna salad evenly, covering two-thirds of the puree. Leave the last third with only mashed potato to seal the roll.', 'Pick it up with the plastic and start rolling until the edge of the puree is in contact with the filling. Immediately peel back the plastic.', 'Make a second turn by gently lifting the plastic and rolling towards the center, peel off the plastic again. Repeat this procedure until the wrapping is closed. Re-stretch out the plastic and use it to fully seal the log.', 'Put it in the refrigerator and let it chill for at least 30 minutes before serving. This helps it hold together when you slice it, and it tastes better cold.', 'Serve on a bed of lettuce, decorate with the aji, mayo, and chopped herbs. Slice disks off the log and eat plain or in the lettuce as a wrap.']"
11,11,Zhingyalov’hats,"['⅔ cup lukewarm water', '1 tsp kosher salt', '1½ cups all-purpose flour plus more for dusting']","Lunch, Snack","['In a large bowl, combine the water and salt. Add the flour gradually with your hands to incorporate. Knead briefly in the bowl. (It’s okay if it’s slightly sticky at this point.)', 'Dust the counter with flour. Turn the dough out onto the counter and knead until it is just starting to become smooth, about 4 minutes. Roll the dough into a ball, place it in a lightly oiled bowl, cover with a kitchen towel, and let it rest while you chop the greens and herbs. It will soften and become smoother as it rests.', 'After at least 20 minutes (or up to an hour), place the dough on the floured counter and divide it into four equal pieces, about 3 oz each. To shape the dough, cup the palm of your hand over one portion at a time and move your hand in a circle. The friction from the counter will help form the dough into a ball. If there is too much flour on the surface and the dough is sliding around, give the counter a spritz of water and try again.']"
12,12,Queso Fundido,"['⅓ lb Mexican chorizo (beef or pork, or even soyrizo) casing removed', '1 large poblano chile', '¼ cup onion halved and thinly sliced', '1 tsp vegetable oil', '1 lb combination of Mexican style melting cheeses, such as Oaxaca, Monterey Jack, low-moisture Mozzarella  shredded, avoid store-bought shredded cheese & shred yourself', '6-10 corn or flour tortillas or a bag of sturdy Mexican tortilla chips', '1 avocado sliced', 'spicy salsa of your choice for serving', 'chopped cilantro for serving']",Snack,"['Evenly char the poblano over a gas burner or under the broiler set on high, checking frequently to turn for even roasting. Sweat the pepper in a plastic container for a spell. Peel, deseed, & cut into strips.', 'While the poblano is sweating, set an oven rack in the upper third tier & set oven to 450℉.', 'Sauté the sliced onion in a tsp of oil in a large skillet (preferably cast iron) over medium heat.', 'As the onion starts to golden, add the chorizo & break it up into small pieces, stirring as it cooks completely. It will release some grease. You can remove the skillet from heat, tilt it up at an angle, scraping the chorizo away from the pooling oil. Soak that up with a paper towel to discard.', 'Place skillet back over heat & add the peppers. Stir to combine & begin to add the shredded cheese over the mixture. Gently incorporate the chorizo mixture & shredded cheese.', 'Place the skillet in the oven on prepared rack & bake 12-20 minutes, or until completely melted.', 'Remove queso from oven, garnish with a sprinkle of chopped cilantro, & place on the serving table on a trivet with the tortillas (or chips), avocado, & salsa of choice. Enjoy as tacos or as scoops!']"
13,13,Baigan Bharta,"['1 eggplant', '1 tomato finely chopped', '1 green chili finely chopped', '1 onion finely chopped', '1 inch ginger grated', '¼ tsp asafoetida (hing)', '2 Tbsp mustard oil', 'roti or chapati for serving']","Lunch, Snack","['Roast eggplant over flame until charred and soft. Cool and remove from skin. Mash up the eggplant with a fork and set aside.', 'Now heat mustard oil in a pan. Put asafoetida in it and let it cook for a few seconds. Now add onion, ginger, garlic, green chillies and let it cook for 2 to 3 minutes.', 'Now add tomatoes and cook till tomatoes become soft. Now add eggplant paste, salt and let it cook for 4 to 5 minutes. After cooking, turn off the gas and serve with bread.']"
14,14,Jia Chang Cai,"['3 medium tomatoes - four eggs (mixed with a teaspoon of salt)- one scallion (sliced thin)\xa0- two cloves of garlic (sliced thin)- two teaspoons of tomato paste', '4 eggs beaten with a tsp of salt', '1 scallion sliced thin', '1 cloves garlic sliced thin', '2 tsp tomato paste', '1 tsp brown sugar', 'soy sauce optional', 'neutral oil for pan']",Dinner,"['Pour in two tablespoons of oil in a heated wok or pan.', 'Drop in the premixed eggs (don’t actually scramble cuz you want the nice ribbons.) Swirl the pan/wok and gently stir a few times, and scoop out when it’s still a little wet.', 'In the same pan, heat up two tablespoons of oil and drop in the garlic slices and let them sizzle til fragrant.', 'Put in the tomato paste and fry it for a minute. Add tomatoes.', 'Season with a little salt and the sugar.', 'Once you see orange/red tiny bubbles coming up on the side, if you like, add a splash of soy sauce for good luck and a deeper flavor.', 'Add a little water (use your own judgment… you don’t want it burn but you don’t want it watery) and let it bubble up again.', 'Add in your eggs and garnish with scallions. Enjoy right away on its own or with a side of warm rice!']"
15,15,Cà Phê Trứng,"['4 Tbsp Vietnamese coffee', '½ cup hot water', '2 pasteurized egg yolks', '1 tsp granulated white sugar', '1 Tbsp sweetened condensed milk']",Drink,"[""Using a phin filter (traditional Vietnamese method) or pour-over filter: Place the phin filter on top of your cup. Add ground coffee to the phin's well and pack it down firmly with the accompanying press. Pour a tiny bit of hot water into the well, allowing the grounds to absorb it for 15 seconds, then continue filling the well with hot water. Cover the filter with the accompanying lid (optional)."", 'Once the water has fully drained through the filter, your coffee is ready.', 'Alternatively, brew about 2-3 ounces of strong coffee using your preferred method (e.g., espresso machine, drip coffee maker, French press, etc.).']"
16,16,Kare-Kare,"['2½ lb oxtail', '1 beef bouillon cube', '2 bunches baby bok choy', '1 medium Chinese eggplant', '10 snake beans (long beans) cut into 2 in. pieces', '½ can banana blossoms in water or brine, NOT pickled, roughly chopped', '¾ cup  annatto water', ""¾ cup peanut butter Lily's brand or another sweetened peanut butter"", '½ cup ground peanuts', '¼ cup cornstarch', 'medium yellow onion chopped', '3 cloves garlic crushed', '4-6 cups water', '3 Tbsp neutral cooking oil', 'cooked rice for serving']",Dinner,"['Heat oil in a cooking pot or pressure cooker. Sauté garlic and onion.', 'Once the onion becomes soft, sauté the oxtail until light brown.', 'Pour water into the the pot. Let boil. Add beef cube. Stir. Cover and cook between low to medium heat until the oxtail becomes tender. This will take around 2 to 2½ hours for conventional cooking, and 30 to 40 minutes if a pressure cooker is used.', 'Once the oxtail is tender, add peanut butter and ground peanuts. Stir.', 'Pour in annatto water. Cook for 3 minutes.', 'Combine cornstarch and ½ cup cold water. Pour the mixture into the pot. Stir until the sauce gets thicker.', 'Add banana blossoms. Cook for 3 to 4 minutes.', 'Add eggplant and snake beans. Cook for 5 minutes.', 'Put the bok choy into the pot. Stir. Cover and cook for 2 minutes.', 'Transfer to a serving dish. Serve with hot rice and enjoy!']"
17,17,Chilero Nicaraguense,"['1 large white onion', '1 large carrot', '2-3 chili peppers of your choice depending how spicy you want it', '½ tsp salt', '½ tsp sugar', '1 cup white vinegar', '½ cup water']",Snack,"['Dice the onion and chili(s) into small pieces. Peel and grate the carrot.', 'Using your hands, combine the three ingredients and massage them so the flavors can fuse.', 'Add remaining ingredients and stir to combine. Pour into a mason jar.', 'Let it sit under the sun or outside of the fridge for 2-3 days and then it’s ready to eat!']"
18,18,Torta Ahogada,"['4 hard rolls halved horizontally', '1 lb pork carnitas', '¾ can refried beans', '2 lbs ripe tomatoes', '1 clove garlic', '1 tsp vinegar', '½ tsp dry Mexican oregano', '¼ large thinly sliced onion and marinated in lemon juice', 'hot sauce your choice', 'salt to taste']",Lunch,"['Cook the tomatoes in a pot with water, drain and blend in blender with garlic, vinegar, oregano and salt.', 'In a large pot put the sauce to a boil ½ hour, adding water, depending on how liquid you would like it (in many places it is thick in others don’t, depending on your taste) taste for salt, if you feel that it needs more oregano, add more, or a little more vinegar; it should be a little acidic, but rich.', 'Now to assemble the sandwich, spread some refried beans on each side of the rolls, top bottom half with a portion of the pork carnitas.', 'Serve on a plate and top with the tomato salsa, serve with marinated onions alongside, a wedge of lemon and dig in! If you like to spice your sandwich, add the hot sauce.']"
19,19,Sinh Tố Sầu Riêng,"['200 g fresh durian de-seeded', '¼ cup milk', '100 g ice', '4 Tbsp condensed milk']","Dessert, Drink",['Put all ingredients in a blender and blitz until creamy and smooth. Enjoy cold!']
20,20,Jiāng Zhī Zhuàng Nai,"['100 grams fresh ginger', '1 ⅓ cups whole milk', '1 Tbsp sugar', '⅛-¼ cup milk powder']",Dessert,"['Finely grate your ginger. Using a sieve, squeeze the ginger pulp until all juice has been extracted. Reserve juice and toss the pulp.', ""Take two small bowls. In each bowl add 1 Tbsp of your ginger juice. Allow the juice to separate, do NOT stir. If you see a whiter residue on the bottom of the bowl (pictured) that is what you're looking for."", 'Combine milk, milk powder, and sugar in a small saucepan. Heat till exactly 176℉. Remove from heat.', 'Immediately add warm milk to bowls to ginger juice. Allow to cool and solidify.', ""Once it's reached a pudding-like texture, serve right away!""]"
21,21,Patê de Frango,"['1 kg chicken breast', '150 g grated carrot large grate size', '200 g corn', '4-6 cloves garlic', '2 onion', '1 lime', '1 Tbsp salt', '½ tsp green coriander seeds', 'pinch dried oregano', 'pinch black pepper', '¾ cup mayo', 'toast for serving']",Snack,"[""Divide your onions and garlic into thirds. You'll need some for the salt paste, some for the pressure cooker, and some for the sauté."", 'Make the salt paste (Tempero Caseiro) by blitzing some garlic, ½ an onion, green coriander seeds, and salt, until make a ""wet salt"". Set aside.', ""Cook the chicken with a squeeze of lime juice, one whole onion, more garlic, spices and tempero caseiro (be careful it's more salty than regular salt, and you can finish when you sauté) in the pressure pot."", 'Pressure cook for 10 mins on high and 5 minute natural release before removing chicken.', 'Shred the chicken. Sauté the rest of the garlic and remaining ½ onion (diced), oregano, and pepper. Add this to the shredded chicken.', 'Mix in the carrots, corn, and mayo until creamy.', 'Serve as a dip with toast!']"
22,22,Huevos Divorciados,"['4 tomatillos husked and rinsed', '3 roma tomatoes', '½ small yellow onion halved', ""2 jalapeños  stems removed (seeds as well if you don't want it spicy)"", '2 cloves garlic', '5 sprigs cilantro', '1 tsp salt divided, plus more to taste', '2 tsp olive oil divided']",Breakfast,"['Add the tomatillos, tomatoes, onion halves, jalapeno peppers and garlic cloves to a medium pot.', 'Fill the pot with water until the ingredients are completely covered and bring to a boil over high heat.', 'Reduce heat to low, cover, and simmer for 5 minutes. Drain and set aside.', 'Make the red salsa by adding the cooked roma tomatoes, 1 onion half, 1 jalapeño pepper, 1 clove garlic, and 1/2 teaspoon kosher salt to a blender. Blend until smooth.', 'Heat 1 teaspoon olive oil in a small pot over medium-high heat. Carefully pour in the blended red salsa and lightly fry for 1 minute, stirring often. Transfer to a bowl, taste, and season with more salt if necessary. Cover and set aside.', 'Make the green salsa by adding the cooked tomatillos and the remaining 1 onion half, 1 jalapeno pepper, 1 clove garlic, 5 sprigs cilantro, and 1/2 teaspoon kosher salt to a blender. Blend until smooth.', 'Heat the remaining 1 teaspoon olive oil in a small pot over medium-high heat. Carefully pour in the blended green salsa and lightly fry for 1 minute, stirring often. Transfer to a bowl, taste, and season with more salt if necessary. Cover and set aside.', 'Fry the eggs by heating 1 tablespoon olive oil in a large nonstick skillet over medium heat. Carefully crack in the eggs, keeping them separate, and cook for 3 minutes, or until the whites are set. Remove from heat.', 'Place 2 eggs onto a plate. Spoon half of the red salsa around one of the eggs and half of the green salsa around the other egg. Garnish with a sprinkle of cotija cheese or queso fresco and some chopped cilantro. Serve with a side of refried beans and warm corn tortillas.']"
23,23,Bocadillo con Queso,"['white bread', 'queso fresco', 'guava paste', 'butter']","Lunch, Snack","['Slice guava paste and queso fresco into thin slices.', 'Layer paste and cheese inside your bread.', 'Melt some butter in a pan and grill sandwich until golden on both sides and the cheese is melty.', 'Serve warm with hot chocolate to drink!']"
24,24,Gigantes,"['1 yellow onion chopped finely', '1 large carrot chopped finely', '1 large celery stalk chopped finely', '2 cloves garlic minced', '¼ cup fresh Italian parsley chopped finely', 'zest of one lemon', '1 15 oz can diced tomatoes (or equal amount of fresh tomatoes)', '1 lb dried giant lima beans or runner beans', '1 tsp oregano', '1 tsp fresh thyme add a bit more if using dried', '1 bay leaf', '1 cinnamon stick', '½ tsp red pepper flakes', 'salt & pepper to taste', '2 bouillon or vegetable stock cubes', '¼ cup olive oil', '1 Tbsp tomato paste', 'crumbled feta cheese for serving', 'bread for serving']",Dinner,"['Soak beans 12-24 hours before cooking. Drain before using.', 'Pressure cook soaked beans with 4 cups of water for 27 minutes on high. Natural release.', 'In a pan, heat 1/4 cup of olive oil, then add onions, carrots and celery.', 'Cook for about 5 minutes, then add garlic. Cook for another 5 minutes or until onions are translucent.', 'At this point, add the diced tomatoes, tomato paste, lemon zest, all of the spices/herbs (except for parsley), bouillon/stock cube, and ¾ cup of water.', 'Mix everything until combined and bring the mixture to a boil.', 'Turn off the heat, then add the cooked beans and parsley to the pot and mix until combined. Taste the mixture and add more spices or acidity if needed.', 'Preheat the oven to 350℉.', 'Transfer the mixture to an oven safe baking dish and cover with aluminum foil. Bake for about 45 minutes.', 'Take the dish out of the oven and remove the bay leaf and cinnamon stick, then add crumbled feta over the top. Return to the oven and bake UNCOVERED for 15 more minutes or until beans are very tender.', 'Let cool, serve, and enjoy with bread!']"
25,25,Cevapi,"['750 g beef mince', '250 g pork mince', '80 ml water', '3 cloves garlic peeled and sliced in half', '1 tsp salt', '1 tsp baking soda', '½ tsp black pepper', '1 tsp paprika', '80 ml extra water', 'pita', 'ajvar', 'white onion diced']","Dinner, Lunch","['Put 80 ml of water and the minced garlic in a small saucepan, bring to a boil the turn off the heat. Once completely cooled remove and throw out the garlic but keep the water. This step is important to ensure that the mince does not dry out.', 'In a bowl, add the mince, the cooled water, salt, pepper and paprika. Gently combine, cover and leave in the refrigerator overnight.', 'The next day add extra water and baking soda to a small bowl, mix to combine. Bit by bit, add the baking soda and water mixture to the mince, continuously kneading it for about 20 minutes (it is important to work the mix well to get the right texture). When all of the baking soda water mix is incorporated into the mince, and the mince is compact and no longer sticks to the bowl, then it is done.', 'Shape the Cevapi (if your hands are damp it is easier) into fingers/sausages 10-12 cm long.', 'Heat a frying pan or grill pan over a high heat till the pan is hot. Cook in in two batches by shallow frying for 3 minutes on one side, then turn and fry for another 3 mins. Then turn again, cover frying pan with a lid and fry for 2 mins, then take off lid, turn again, and fry for 2 mins on the other pan, with the lid covering it.', 'Serve with pita, ajvar and diced white onions. For extra flavor, gently press the pita into the juices the meat released when it was cooked.']"
26,26,Salatat Blankit,"['1 onion', '1 green bell pepper', '1 tomato', '2-3 cloves garlic']",Snack,"['Char onion, peppers, tomatoes, and garlic over flame. Cool in bags to make peeling easier. Once cool, peel and core tomatoes, peel and deseed peppers, peel onion and garlic.', 'Chop veggies in a food processor into little chunks. Drain any liquid. Add olive oil and salt to taste.']"
27,27,Durian Cream Puffs,"['½ cup cake flour', '½ tsp white sugar', '¼ tsp salt', '60 g unsalted butter roughly cubed', '125 ml water', '2 eggs plus one more for brushing']",Dessert,"['In a bowl, sift the flour and set aside.', 'Over medium heat, place the butter, the salt, the sugar and the water in a heavy pot and bring to a boil. Remove the butter mixture from heat and add the flour all at once. Stir with a wooden spoon until it is combined into a dough.', 'Put the pot back onto the heat and stir constantly until the dough comes away from the sides and forms a thick smooth dough (about 1-2 min).Transfer the dough to a bowl and let it cool for ~5 min.', 'Once the dough is lukewarm, add the 2 eggs one at a time and mix until the dough becomes a smooth thick paste. (Note: the pastry choux dough will separate and then come together). Continue to mix until you have a stretchy thick paste which slowly falls from a spoon.', 'Pipe a little pastry choux onto the four corners of the baking pan to secure the parchment paper. Lightly brush the parchment paper with some water which will help the choux puffs to rise in the oven.', 'Pipe 16 one-inch button sized pastry choux mounds onto the baking sheet, about 2 inches apart. Using the index finger tipped in a little water, pat down any swirly tips so that it does not burn during baking. With a pastry brush, gently brush the tops of the each mound with some lightly beaten egg.', 'Preheat oven to 400F/200C and bake at the center rack of the oven for 15 min. Then reduce the oven temperature to 350F/180C and continue to bake for a further 10-15 min until the choux puffs are nice and golden.', 'Turn off the heat and with the oven door slightly ajar, leave the puffs in there for another 5-10 minutes. This is to prevent the puffs from collapsing from any sudden drop in temperature. To test if the puffs are done, split one up and check if it is almost dry inside. If not, turn the oven off, poke a couple of holes in each puff and leave them in the oven to completely cool (and dry out) before use.']"
28,28,Jiā Yì Liáng Miàn,"['1 cup vegetable oil', '3 Tbsp sugar', '½ tsp salt', '1 Tbsp white wine vinegar', '1 Tbsp lemon juice', '1 egg']",Lunch,['Place all ingredients in a container and blend until thick and creamy.']
29,29,Milagai Mandi,"['1 ½ cups boiled and strained rice water', '1 lime-sized tamarind or tamarind paste', '2 tomatoes', '4 Tbsp sesame oil', '½ tsp mustard seeds', '½ tsp urad dal', '20 cloves garlic', '20 small shallots', '20 green chilis', '1 tsp coarse salt', 'rice for serving', 'ghee for serving']",Dinner,"['Soak a big lime size tamarind in 2 cups of mandi (rice water) for 20 minutes. Once the tamarind has been soaked, squeeze it between the fingers to release all the juices. Strain the juice and set aside.', 'Boil water in a pot to a roaring boil. Make a cross on the tomato and cook for 3 minutes. Switch off the flame. Drain the water and peel the tomatoes. Blend the tomatoes in a blender to a coarse paste. Set aside.', 'Heat sesame oil in a pan and add in the mustard seeds and the urad dal. Let it splutter. Then add in the garlic, shallots and green chillies and sauté well until all the ingredients are roasted. About 3-4 minutes.', 'Add in the salt and the tamarind mandi water. Cook on high flame for 10 minutes. The gravy will thicken up. At the end of 10 minutes, the gravy should be soupy. If its watery, mix two teaspoon of rice flour in ¼ cup of water and add it to the gravy.', 'Allow it to cook for couple of minutes until the gravy becomes thick. Serve hot with rice and a scoop of ghee (if desired) to combat spice.']"
30,30,Papa Rellena,"['1 lb russet potatoes', '1 Tbsp cornstarch', '1 egg', 'adobo (all purpose seasoning) to taste', '1 packet sazón', 'salt & pepper to taste']","Lunch, Snack","['Season your boiling water by salting it, cook until potatoes until tender.', 'Remove the potatoes, and mash. If you have a ricer that’ll work beautifully if not a masher will work just as well. Once mashed, add the salt and pepper, sazón, and adobo and work it through the potatoes. Add the corn starch, combine, then add the egg. Combine well and set aside.']"
31,31,Portokalopita,"['450 g phyllo dough sheets', '½ cup sugar', '1 cup vegetable oil', '4 eggs', '1 Tbsp baking powder', 'zest of 1 orange', '¾ cup strained Greek yogurt', '1 tsp vanilla extract']",Dessert,"['If frozen, defrost phyllo.', 'Preheat the oven to 350 degrees F and brush a 9 x 13-inch baking pan with a little oil or butter.', 'For the cake, put the eggs, vegetable oil, and sugar in a large bowl. Beat the mixture well with an electric mixer until the ingredients are well combined. Add the yogurt, orange zest, baking powder, and vanilla. Beat to combine.', 'Cut phyllo into long, thin ribbons. Add phyllo ribbons to the cake batter and stir it in with a spatula. Evenly spread the batter in the prepared pan.', 'Bake the cake for 45 to 55 minutes, until a knife inserted into the center comes out clean.', 'Make the syrup while the cake is baking. In a medium saucepan, stir together the orange peel, water, and sugar. Bring the mixture to a boil then simmer it over medium heat for 20 minutes, until it thickens to the consistency of maple syrup, stirring often. Let the syrup cool.', 'When the cake comes out of the oven, pour the syrup on top. Allow cake to cool and absorb all the syrup.', 'Slice and serve!']"
32,32,Chacarero,"['125 g ground beef', '¼ white onion finely chopped', '1 clove garlic minced', 'ground cumin to taste', 'ground coriander to taste', 'salt & pepper to taste']","Dinner, Lunch","['Combine all patty ingredients in a bowl and mix well to distribute everything evenly.', 'Form your patties and cook on a grill or pan to your desired temperature. Set aside.']"
